chairman	主席
presented by	提出了一种由
has review expertise	已经审查的专门知识
steering committee of conference is	会议指导委员会是
has important date	有重要约会
has workshop topic	有工作坊主题
has workshop	拥有车间
is topic of conference part	是会议部分的主题
preference or expertise of reviewer	偏好或审阅者的专业知识
has author	有作者
reviews contribution	点评的贡献
person involved with conference	参与会议的的人
event of sending camera ready version	事件的发送照相机准备好版本
science worker	科学工作者
city	城市
student	学生
event	事件
contribution	贡献
banquet	宴会
trip	旅行
event of registration of participants event	事件中的参与者事件注册
event of submission	提交的事件
volunteer of conference	会议的志愿者
administrative event	管理事件
university	大学
event of reviewing results	审查结果的事件
short paper	短纸
regular participant of conference	经常参加会议
student participant of conference	学生参与会议的人
working event	工作事件
country	国家
reception	接待处
social event	社会事件
assistent	助理
administrator	管理员
company	公司
event of reviewing	事件的检讨
participant	参与者
participant of conference has early registration	会议的参加者有早期注册
has postal code	有邮政编码
has remark	有句话
follows	如下
study at university	在大学学习
has relevant administrative event	有相关行政事件
writes contribution	写的贡献
reviewes	回顾
written by author	作者所写的
stay in country	留在国家
deals with topic	处理主题
expert on topic	主题专家
is parallel with	与平行
stay in city	留在城市
employed by	受雇于
has topic	有主题
stay in street	呆在街
end day of event	结束一天的事件
has short title	有短标题
setting of maximal number of event	设置最大数量的事件
has fax	已传真
event is being held at	事件正举行
has keywords	有关键字
has valued added tax	有价值增值税
has phone	有手机
has contact email	已联系电子邮件
setting of default choice of number of event	设置默认选择的事件数
has home page	有的主页
starting day of event	开始一天的事件
setting of minimal number of event	设置的最少数量的事件
ngo	非政府组织
review rating	审查评级
attendee	与会者
call for reviews	呼吁点评
break	休息
academic organization	学术组织
microelectronics topic	微电子技术专题
accepted paper	被接受的纸
conference dinner	大会晚宴
place	地方
computer networks sensor topic	计算机网络传感器主题
single level conference	单水平会议
computer networks management topic	计算机网络管理专题
computer networks security topic	计算机网络安全话题
mealtime	用餐时间
signal processing topic	信号处理主题
menu	菜单
personal history	个人史
government organization	政府组织
computer networks measurements topic	计算机网络测量主题
multimedia topic	多媒体主题
call for manuscripts	手稿的呼吁
computer networks enterprise topic	计算机网络企业主题
radio communications topic	无线电通信主题
cryptography topic	密码学主题
presentation of a paper	演示文稿的一篇论文
powerline transmission topic	电力线传输主题
published paper	出版的报纸
non academic event	非学术事件
computer networks applications topic	计算机网络的应用程序主题
medicine topic	医学专题
computer architecture topic	计算机体系结构主题
review form	审查形式
personal reviewing history	个人回顾历史
wireless communications topic	无线通信主题
numerical review question	数值评价问题
closing talk	结束谈话
satellite and space communications topic	卫星和空间通信主题
menu (meal)	菜单 (粕)
withdrawn paper	撤回的纸
rejected paper	被拒绝的纸
accommodation	住宿
personal publication history	个人出版历史
pending paper	挂起纸
session chair	会议椅
event related to a conference	与会议相关的事件
travel grant	旅费资助
member of tpc	tpc 的成员
coffee break	喝杯咖啡休息
computer networks topic	计算机网络话题
sponsorship	赞助
communication theory topic	通信理论主题
contact information	联系信息
rated paper	额定的纸
computer networks optical topic	计算机网络光学主题
excursion	游览
test only topic	测试只是主题
antennas topic	天线的话题
cad topic	cad 的话题
academic event	学术活动
two level conference	两个级别会议
presenter	节目主持人
parallel and distributed computing topic	并行与分布式计算的话题
accept rating	接受评级
industrial organization	工业组织
programme	方案
computer networks switching topic	计算机网络切换主题
conference venue	会议地点
free time	空闲时间
accept if room rating	如果接受房间评级
call	调用
organizational meeting	组织会议
welcome talk	欢迎的讲座
weak reject rating	弱拒绝评级
communications topic	通信主题
performance topic	性能的主题
talk	谈话
meeting room	会议室
meal	餐
textual review question	文本审查问题
call for papers	征稿通知
mobile computing topic	移动计算主题
conference session	届会议
active paper	活动纸
slide set	幻灯片集
security topic	安全主题
dining place	用餐的地方
operating systems topic	操作系统主题
review question	审查的问题
reject rating	拒绝评级
is reviewed by	由审查
is about paper	是关于纸
is review history of	是审查历史的
has program	有的程序
has attendee	有与会者
is topic of	是的主题
is initiated by	由发起
has related document	有相关的文档
has call	已调用
has rating	已评级
is written by	是写的
is reviewing	现正检讨
is location of	是的位置
has location	有的位置
has review history	回顾历史
is provided by	是由提供的
is provider of	是的提供商
is menu of	是的菜单
has country	有的国家
initiates	同修
attendee at	在与会者
belongs to event	属于事件
relates to	涉及到
is presented in	提出了
conference manuscript date and time deadline	会议的手稿的日期和时间截止日期
conference start date and time	会议开始日期和时间
has biography	有传
has amount of cost	有数量的成本
conference registration date and time deadline	会议注册的日期和时间截止日期
has submission deadline	已提交截止日期
has street	有街
has end date and time	已结束日期和时间
has name (full name of conference)	有的名字 （全名的会议）
has currency of cost	有的费用的货币
has start date and time	有开始日期和时间
conference end date and time	会议结束日期和时间
has menu	有的菜单
writes	写操作
for event	为事件
conference paper date and time deadline	会议论文的日期和时间截止日期
has last name	有的姓氏
has submission instructions	已提交说明
has city	有市
location	位置
possible reviewer	可能的审阅者
positive review	积极检讨
oc member	业主立案法团成员
conference paper	会议论文
industrial session	工业会议
tutorial chair	教程椅子
conference banquet	会议宴会
conference trip	会议之旅
demo chair	演示的椅子
research institute	研究所
paper author	论文作者
submitted paper	提交的论文
research topic	研究课题
scientific event	科学事件
session	会议
programme brochure	方案小册子
camera ready paper	相机准备好纸
proceedings	诉讼程序
contributed talk	贡献的谈话
early registered participant	早期注册的参与者
regular paper	普通纸
demo paper	演示纸
pc member	pc 成员
workshop chair	车间的椅子
flyer	传单
agency staff member	工程处工作人员
invited talk abstract	特邀的演讲摘要
assigned paper	分配的纸
pc chair	电脑椅
demo session	演示会话
organising agency	组织机构
regular session	定期会议
individual presentation	个别演示文稿
oc chair	业主立案法团的椅子
multi author volume	多作者卷
late registered participant	晚注册的参与者
workshop paper	纸车间
neutral review	中立的审查
organisation	组织
track	跟踪
negative review	负面评论
academic institution	学术机构
poster session	会议海报
evaluated paper	评估的文件
tutorial abstract	教程摘要
proceedings publisher	诉讼程序发布服务器
industrial paper	工业用纸
web site	web 站点
conference proceedings	会议论文集
conference participant	会议的参与者
workshop session	研讨会会议
poster paper	广告纸
sc member	供应链成员
updated version of	更新的版本的
presentation of paper	演示文稿的纸
referenced in	在中引用
location of	位置
inverse of partof 7	逆的部分 7
hasevent	hasevent
covers topic	涵盖的主题
review of paper	审查的文件
scientifically organises	科学地组织
topic covered by	所涵盖的主题
reviewer of paper	审阅者的纸
references	引用
organised by	主办
has reviewer	已审阅者
review written by	审查所写
technically organises	从技术上讲举办
has updated version	已更新的版本
part of	一部分
event on list	在列表中的事件
held in	在举行
volume contains paper	卷包含纸
paper in volume	在卷纸
author of	书的作者
part of event	事件的一部分
publisher of	发布服务器的
organises	举办
scientifically organised by	科学主办
lists event	列出事件
paper presented as	本文提出了一种作为
technically organised by	从技术上讲由主办
activity taking place before conference	活动会议之前发生
deadline for registration	报名截止日期
initial manuscipt	初始 manuscipt
social activity	社交活动
speaker who presents a tutorial	演讲人提出了一个教程
lecturer	讲师
tip	小贴士
powerpoint presentation	powerpoint 演示文稿
registration fee for a student	一名学生的注册费
city where a presenter comes	主讲人是哪里来的城市
time	时间
activity of modelling	活动的造型
worker lecturer	工人讲师
welcome speech	欢迎致辞
registration fee paid by an attending author for receiving proceedings as book	由出席作者付费接受诉讼作为本书的注册费
conference restaurant	会议餐厅
form	窗体
coctail reception	鸡尾酒招待会
author who will receive proceedings as book	将收到诉讼作为本书的作者
deadline for the hotel reservation	酒店预订截止日期
main office	主要办事处
fee	费用
hotel presenter	酒店主持人
full day tour	全天游览
tax	税收
credit card	信用卡
city where the conference takes place	会议是在哪里发生的城市
activity of simulating	模拟的活动
registration fee a non author	注册费非作者
deadline	截止日期
cheque	支票
introduction	介绍
computer	计算机
activity of accepting a manuscript	接受一份手稿的活动
conference building	会议大楼
conference hotel	会议酒店
taxi	出租车
hotel fee	酒店费用
author who will receive proceedings as cd	作者将作为裁谈会接收程序
double hotel room	双酒店房间
currency	货币
delegate	委托
presenter who presents only on one day	演讲者介绍了只上一天
overhead projector	投影仪
invitation letter	邀请信
registration fee	注册费
city which is the location for a trip	这是一次旅行的位置的城市
not member of iasted	不是会员的网路
value added tax	附加价值税
speaker	演讲者
conference hall	会议大厅
final manuscript	最后的手稿
video cassette player	盒式磁带的视频播放器
university of a presenter	大学的一个主持人
fee for extra trip	额外的旅行的费用
registration fee for a member	会员注册费
activity taking place after conference	活动会议后发生
departure tax	离境税
item	项目
audiovisual equipment	视听设备
deadline for submiting	工程项目的截止日期
member of iasted	协会的成员
lecture	讲座
one conference day	一次会议的一天
book proceeding	书程序
lcd projector	液晶投影仪
submission	提交
activity taking place during conference	在会议期间发生的活动
conference hiker	会议的徒步旅行者
conference days	会议天数
activity of refusing a manuscript	拒绝一份手稿的活动
mailing list	邮件列表
video presentation	视频演示文稿
card	卡
activity of receiving a manuscript	收到一份手稿的活动
state of the sponsor	赞助商的状态
dinner banquet	晚餐宴会
research activity	研究活动
single hotel room	单人房间
conference airport	会议机场
student lecturer	学生讲师
city where a presenter comes from	主讲人是从哪里来的城市
conference registration form	会议注册表单
delegate (person registering and visiting the conference)	（登记和前往会议的人） 的委托
plenary lecture	全体会议上的演讲
payment document	付款单据
time zone	时区
car	汽车
registration fee paid by an attending author for receiving proceedings as cd	注册费由主诊作者付费接受诉讼作为 cd
van	范
shuttle bus	穿梭巴士服务
item (in general)	（一般） 中的项目
state where the conference takes place	会议是在哪里发生的状态
state	状态
city where a sponzor comes from	sponzor 是从哪里来的城市
technical activity	技术活动
brief introduction for session chair	会议主席简介
hotel registration form	酒店注册表单
registration fee for a non member	非会员的注册费
technical committee	技术委员会
student who is not a speaker	学生不是一个人
day assigned for a trip	一天分配为一次旅行
hotel room	酒店房间
deadline for notification of acceptance	接受的通知的截止日期
house of a presenter	节目主持人的房子
record of attendance	出勤记录
activity of renting a car	活性的租一辆车
listener	侦听器
house of a company being a sponsor	一家公司赞助的房子
activity	活动
non speaker	非扬声器
building	建筑
introduction of speaker	演讲者的介绍
any kind of document	任何类型的文档
amount of money	多少钱
cd proceeding	裁谈会程序
departure	离境
state of the presenter	演示者的状态
author information form	作者信息表格
transport vehicle	运输车辆
sponsor	赞助商
worker who is not a speaker	工作人员不是一个人
deadline for submitting the camera ready script	相机准备好脚本提交截止日期
registration	注册
publication	出版物
sponzorship	sponzorship
bank transfer	银行转帐
viza	viza
lecture given by a speaker	演讲者的演讲
overhead transparency	架空的透明度
speaker giving a lecture in front of the plenum	演讲者在全会前的讲座
city where a sponzor comes	sponzor 是哪里来的城市
session room	会话室
is needed for	是所需
goes through	经历
is present in time	目前在时间
is sent by	由发送
is connected with	与连接
is occupied by	被占领
obtains	获取
is locally situated in	位于本地
pays	用者自付
signs	迹象
is present in time or space	目前在时间或空间
is paid with	以支付
speaks at time or in place	讲话在时间或地点
is given by	给出了由
is paid in	在支付
is designed for	为设计
sends	发送
is made from	是由
is prepared by	编写的
is equipped for	装备为
gives	给出了
is held before	在之前举行
is signed by	由签署
is used for	用于
is held after	后举行
needs	需要
is paid by	由支付
is visited by	由参观
occupies (lives resides)	占地 （生活驻留)
is sent before	发送之前
is sent after	发送后
is held in	在举行
is paid for	支付
is used by	由使用
is dated on	被日
prepares	准备
is given to	是给
has amount of	有的量
to be done till	要做的直到
sponzor for best student paper	sponzor 为最佳学生论文的
registration fee for student	学生的注册费
conference acm sigkdd	会议 acm
author of student paper	学生论文的作者
gold sponzor of conference	会议的黄金 sponzor
award for conference paper	会议论文奖
deadline of paper submission	论文提交截止日期
member of organizing committee	组织委员会的成员
author of paper	论文的作者
sponzor fee	sponzor 费
sponzor	sponzor
registration fee for member of sigkdd	注册费为旗舰的成员的
main office of conference	会议的主要办公室
chair of conference	会议主席
listener of conference	会议的听众
conference fee	会议费用
award for best research paper	最佳论文奖
award for best application paper	最佳应用论文奖
committee for best paper awards	委员会的最佳论文奖
award for best student paper	最佳学生论文奖
sponzor as exhibitor	作为参展商 sponzor
program chair	程序的椅子
registration fee for member of sigmod	数据成员的注册费
deadline of author notification	作者通知的截止日期
webmaster	网站管理员
abstrakt	abstrakt
platinum sponzor of conference	会议的白金 sponzor
organizator of conference	organizator 会议
deadline of abstract submission	摘要提交截止日期
silver sponzor of conference	会议的银 sponzor
bronze sponzor of conference	会议的青铜 sponzor
registration fee for person not being member of sig	并非 sig 的成员的人的注册费
hall of conference	会议大厅
person active at conference	积极参加会议的人
hotel	酒店
has price	有的价格
has sponzor name	有 sponzor 的名字
date of final day of conference	最后一天的会议日期
conference takes place in city	会议是发生在市
has name of conference	有会议的名称
has nationality	有国籍
registration fee is in currency	注册费是在货币
has award	已奖
registration fee paid by	由支付的注册费
set up deadline	设置截止日期
has deadline for submission	已提交截止日期
awarded by	被授予
sponzor are called by	sponzor 是由调用的。
paid registration fee	支付的注册费
call for sponzor	对 sponzor 的调用
was presented by	提出了一
presents document	介绍了文档
stay in	留在
organize conference	组织会议
submit of paper	提交的论文
obtained award	获得奖项
set up deadline for	设置截止日期
conference organized by	组织的会议
date of starting day of conference	开始一天的会议的日期
active participant	积极的参与者
announcement	公告
serie	意甲联赛
passive participant	被动的参与者
person involved	牵涉的人
student participant	学生的参与者
regular participant	经常参与者
airport	机场
activity taking place after	活动发生
days	天
hall	大厅
hiker	徒步旅行者
registration form	注册表单
activity taking place before	活动发生之前
activity taking place during	活动期间发生
restaurant	餐厅
gold sponzor	金 sponzor
platinum sponzor	白金 sponzor
silver sponzor	银 sponzor
person active	积极的人
acm sigkdd	acm
bronze sponzor	青铜 sponzor
expertise degree reviewer	专业知识程度审阅者
volume number proceedings	卷数诉讼
date abstract submission	日期摘要提交
date acceptance notification	日期验收通知
degree review preference	度审查偏好
has topic submission contribution	有题目提交贡献
is organizing committee	是组委会
contributes	贡献
important date serie	重要日期意甲
date full paper submission	日期的论文全文提交
date cameraready submission	日期 cameraready 提交
date of cameraready submission	cameraready 提交的日期
isbn proceedings	国际标准书号诉讼
published date	出版的日期
url web is	url web 是
is workshop chair	车间的椅子
is program committee	是程序委员会
topic related review preference	主题相关审查偏好
is cochair committee	是孙振宇委员会
is cochair of committee	是委员会孙振宇
invited reviewer	被邀请的审阅者
preference expertise review is	偏好专长审查是
program committee is	程序委员会
invites coreviewer	请 coreviewer
committee is	委员会是
submitted	提交
is part	是一部分
is topic part	是主题的一部分
preference expertise reviewer	偏好专长审阅者
steering committee is	指导委员会
has committee cochair	有委员会 cochair
is steering committee	指导委员会
presented	提出了一种
is chair committee	是委员会主席
is first part	是第一部分
is committee	是委员会
publisher proceedings is	发布服务器程序是
is member	是成员
organizing committee is	组织委员会
maximal number assigned papers	指定的论文的最大数目
has website url	有的网站的 url
details entered	输入详细信息
written	写
has logo url	有标志的 url
hardcopy mailing manifests printed	打印的硬拷贝邮寄清单
set maximal number assigned paper	设置最大编号纸
virtual meeting enabled	启用虚拟会议
cowritten	cowritten
cowritten by	由 cowritten
rejected	拒绝
read metareviewer	阅读 metareviewer
read by metareviewer	由 metareviewer 读取
member	成员
added	添加
cowrite	cowrite
mark conflict interest	马克利益冲突
review criteria entered	输入的审查标准
paper assignment finalized	最后定稿的论文作业
assigned reviewer	分配的审阅者
accepted	接受
reviewer bidding started	审阅者投标开始
assigned	分配
has conflict interest respect	有冲突的利益尊重
assigned admin	分配的管理
read reviewer	阅读审阅者
paper assignment tools run	论文作业工具运行
adjusted	调整
member program committee	程序委员会成员
enter details	输入详细信息
event is being held	事件被关押
participant has early registration	参加者有早期注册
setting default choice number event	设置默认选择号码事件
starting day event	开始一天的事件
setting minimal number event	设置最小号码事件
is parallel	平行
stay city	留城
employed	就业
written author	写的作者
stay country	保持国家
deals topic	交易主题
expert topic	专家主题
setting maximal number event	设置最大号码事件
stay street	呆在街头
end day event	结束一天事件
study university	研究大学
is paid	支付
is designed	被设计
speaks time place	讲话的时间地点
is given	给出了
is present time space	是当前时间空间
is locally situated	位于本地
is occupied	被占领
is connected	连接
is sent	发送
is present time	是当前时间
is needed	被需要
is visited	访问
is written	是写
has amount	有量
be done till	可等到
is dated	被日
is prepared	被准备
is equipped	装备
is made	是由
is signed	签署
is used	使用
is held	是举行
date starting day	日期起始日
registration fee paid	支付的注册费
deadline author notification	截止日期作者通知
setup deadline	设置截止日期
has deadline submission	已截止日期提交
awarded	授予
sponzor are called	sponzor 被称为
was presented	提出了一种
date final day	日期的最后一天
takes place city	发生市
registration fee is currency	注册费是货币
call sponzor	电话 sponzor
setup deadline for	安装程序的最后期限
organized	组织
stay	住宿
organize	组织
assistant	助理
reviews	点评
